variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int4,model.layers.29.mlp.gate,0.8337143919338762,0.1662856080661238,0.9012605042016807,0.09873949579831931,7616.0
int4,model.layers.3.mlp.gate,0.8579738946860275,0.14202610531397253,0.9146205357142857,0.0853794642857143,7616.0
int4,model.layers.30.mlp.gate,0.814693657183106,0.18530634281689395,0.8875722163865546,0.11242778361344541,7616.0
int4,model.layers.31.mlp.gate,0.8192956232609133,0.18070437673908668,0.8925124737394958,0.10748752626050417,7616.0
int4,model.layers.32.mlp.gate,0.8076805022707934,0.19231949772920665,0.8831571691176471,0.11684283088235292,7616.0
int4,model.layers.33.mlp.gate,0.81269361182697,0.18730638817303003,0.8853236607142857,0.1146763392857143,7616.0
int4,model.layers.34.mlp.gate,0.810229044997909,0.18977095500209096,0.8829602153361344,0.11703978466386555,7616.0
int4,model.layers.35.mlp.gate,0.817105542683233,0.182894457316767,0.8886882878151261,0.1113117121848739,7616.0
int4,model.layers.36.mlp.gate,0.8218190772812141,0.17818092271878594,0.8934644170168067,0.10653558298319332,7616.0
int4,model.layers.37.mlp.gate,0.8482729572014808,0.15172704279851923,0.9093848476890757,0.09061515231092432,7616.0
int4,model.layers.38.mlp.gate,0.8357232694942269,0.16427673050577307,0.9004070378151261,0.0995929621848739,7616.0
int4,model.layers.39.mlp.gate,0.8363008548407228,0.1636991451592772,0.9008830094537815,0.09911699054621848,7616.0
int4,model.layers.4.mlp.gate,0.8515133151162034,0.14848668488379657,0.9123555672268907,0.0876444327731093,7616.0
int4,model.layers.40.mlp.gate,0.8392343009464368,0.1607656990535632,0.9046579569327731,0.09534204306722693,7616.0
int4,model.layers.41.mlp.gate,0.8556033893743504,0.14439661062564957,0.9133403361344538,0.08665966386554624,7616.0
int4,model.layers.42.mlp.gate,0.8407584420714223,0.15924155792857775,0.902655593487395,0.09734440651260501,7616.0
int4,model.layers.43.mlp.gate,0.8392555332155683,0.16074446678443166,0.9019006039915967,0.09809939600840334,7616.0
int4,model.layers.44.mlp.gate,0.8439294773853101,0.1560705226146899,0.9070706407563025,0.0929293592436975,7616.0
int4,model.layers.45.mlp.gate,0.825050171583738,0.17494982841626205,0.8942850577731093,0.1057149422268907,7616.0
int4,model.layers.46.mlp.gate,0.8369745858715977,0.16302541412840232,0.9023601628151261,0.0976398371848739,7616.0
int4,model.layers.47.mlp.gate,0.8717792332550286,0.1282207667449714,0.9239101890756303,0.07608981092436973,7616.0
int4,model.layers.5.mlp.gate,0.8513255127225191,0.1486744872774809,0.911469275210084,0.08853072478991597,7616.0
int4,model.layers.6.mlp.gate,0.8335768398267905,0.16642316017320946,0.8985031512605042,0.10149684873949583,7616.0
int4,model.layers.7.mlp.gate,0.8514831690251344,0.14851683097486557,0.9105829831932774,0.08941701680672265,7616.0
int4,model.layers.8.mlp.gate,0.8341307793513181,0.16586922064868193,0.901358981092437,0.09864101890756305,7616.0
int4,model.layers.9.mlp.gate,0.8380998145178297,0.16190018548217033,0.9026391806722689,0.09736081932773111,7616.0
